,GeoID,FIPS,Name,Scale,Area,Lat_Cent,Lon_Cent,Population,Density,Pct_White,Pct_Black,Pct_NatAm,Pct_Asian,Pct_Pacific,Pct_Other,Pct_Two_Plus,Pct_Hispanic,Med_Age,Pct_NotLabor,Pct_Unemp,Pct_Commute,Pct_Service_O,Pct_BlueCollar_O,Pct_FIRE_I,Pct_SNAP,PCI,Pct_Poverty,Pct_Vacant,Med_HomeValue,Pct_Divorced,Pct_NoHS,Pct_Repub,Pct_Fallin,Region
20,0500000US40041,40041,Delaware County,C,792.3101089965172,36.3933694,-94.808206,41415,52.27119978622164,66.70288542798502,0.31631051551370276,21.48738379814077,1.2048774598575396,0.057950018109380656,0.9489315465411083,9.28166123385247,3.240371845949535,45.7,47.8,10.2,77.4,20.1,13.7,32.1,16.4,21476,21.5,33.6,109400,15.1,15.6,40.274454927097906,62.44716351501669,1
21,0500000US40043,40043,Dewey County,C,1008.2363608461633,35.978433,-99.0140936,4817,4.777649554274484,88.51982561760433,0.062279427029271334,2.968652688395267,0.3113971351463567,0.020759809009757112,0.041519618019514225,8.075565704795515,5.60514843263442,42.0,43.5,2.6,81.9,13.6,21.4,27.5,3.9,25721,13.7,24.7,77900,11.7,11.3,49.94753410283316,66.57754010695187,5
22,0500000US40045,40045,Ellis County,C,1231.8828485224542,36.2242576,-99.7501388,4113,3.3387915132784074,94.21346948699247,0.19450522732798445,0.6564551422319475,0.46194991490396303,0.0,0.437636761487965,4.035983467055678,7.00218818380744,44.0,40.1,4.0,83.0,9.9,15.8,32.9,6.5,28458,15.7,23.7,77500,10.7,10.5,60.571201904006344,71.21090617481957,5
23,0500000US40047,40047,Garfield County,C,1060.0646084216264,36.3782725,-97.7877291,61663,58.169096025017346,83.12602370951787,3.222353761575013,1.8503802928822797,0.968165674715794,1.9622788382011904,4.792176832135965,4.078620890971896,10.150333263058885,36.5,35.5,5.7,83.1,19.2,13.6,35.7,13.1,24647,13.2,11.2,93500,13.3,13.9,60.19614711033275,57.139478041472834,4
24,0500000US40049,40049,Garvin County,C,813.6888712306098,34.7093497,-97.3127231,27421,33.69961292272429,81.79862149447503,2.472557528901207,6.783122424419242,0.26621932095838957,0.003646840013128624,1.611903285802852,7.0639291054301445,6.9435833849969,39.6,47.0,5.1,87.5,16.3,13.7,29.0,13.4,21315,19.1,19.0,85900,14.3,16.4,32.06642813744684,56.62910175671196,3
25,0500000US40051,40051,Grady County,C,1104.8996196468074,35.0210581,-97.8868902,53161,48.11387302042285,85.51193544139501,1.8434566693628789,4.966046537875511,0.2915671262767819,0.08652959876601268,1.5707003254265346,5.7297643008972745,4.990500554918079,38.7,40.4,5.1,84.2,15.9,14.0,32.5,14.3,24286,13.5,11.7,108800,11.9,14.399999999999999,46.38278388278388,54.422242874845104,3
26,0500000US40053,40053,Grant County,C,1003.5825572430123,36.7882544,-97.7881508,4523,4.506853937782001,90.66990935219987,0.7074950254256025,0.596948927702852,0.2210921954455008,0.0,2.1888127349104574,5.61574176431572,3.891222639840813,45.1,38.5,5.3,76.2,12.1,20.6,25.6,7.8,28135,9.4,20.8,65100,12.8,9.8,58.526461432030445,61.26408010012515,4
27,0500000US40055,40055,Greer County,C,643.6323508001508,34.9352633,-99.5529675,6144,9.545822226558226,78.84114583333334,7.6171875,3.22265625,0.048828125,0.0,7.291666666666667,2.978515625,10.432942708333332,40.0,53.1,3.5,82.7,23.6,13.2,32.6,19.5,19837,14.2,19.2,66500,16.0,19.9,22.738218094255245,55.107526881720425,5
28,0500000US40057,40057,Harmon County,C,538.6615940175145,34.745971,-99.8441936,2883,5.352154361883575,69.30280957336107,7.006590357266735,1.1446409989594173,1.5261879986125564,0.0,15.747485258411379,5.272285813388831,26.222684703433924,41.2,46.7,7.4,86.9,17.0,18.3,37.8,23.3,21012,23.1,24.2,46400,9.5,21.2,18.281786941580755,58.89212827988338,5
29,0500000US40059,40059,Harper County,C,1041.0473423564126,36.8004561,-99.662842,3747,3.599259944815438,95.40966106218308,0.05337603416066186,0.02668801708033093,0.13344008540165467,0.0,1.3877768881772083,2.989057912997064,19.028556178275956,38.5,34.4,2.0,82.9,16.5,21.1,26.6,8.7,23484,15.4,21.5,69700,10.2,15.8,58.43373493975904,69.63788300835655,5
30,0500000US40061,40061,Haskell County,C,625.272656479457,35.2322937,-95.1095776,12839,20.533442278267636,74.70207960121505,0.7399330165900772,14.751927720227432,0.366072123997196,0.0,0.5374250331022665,8.90256250486798,3.62956616558922,39.9,49.9,7.5,80.3,18.6,23.0,30.099999999999998,19.2,18910,18.4,20.4,79600,14.4,22.2,17.78001727613015,50.42219541616405,2
31,0500000US40063,40063,Hughes County,C,814.8804133800445,35.0529339,-96.2511829,13840,16.984087201940504,68.07080924855491,5.513005780346821,17.398843930635838,0.0361271676300578,0.028901734104046246,1.2355491329479769,7.716763005780347,4.2991329479768785,39.8,55.7,8.2,79.4,20.4,20.0,32.1,17.1,18007,22.3,24.6,64100,13.7,21.9,20.627735023389164,53.21697467488023,2
32,0500000US40065,40065,Jackson County,C,804.2393985081945,34.5939486,-99.4122097,26275,32.67062027642293,75.05994291151285,7.425309229305424,1.4234062797335871,1.3206470028544244,0.2664129400570885,6.7402473834443395,7.7640342530922934,21.92197906755471,34.0,34.6,7.3,82.1,22.2,14.8,33.9,16.9,22569,16.0,14.0,88100,13.6,16.700000000000003,43.95984477813396,72.99738531019729,5
33,0500000US40067,40067,Jefferson County,C,774.0818272481986,34.1050923,-97.8388139,6377,8.238147151276946,82.81323506350948,0.6115728398933669,7.495687627411009,0.10976948408342481,0.0,4.092833620824839,4.876901364277873,9.001097694840835,42.5,47.1,5.3,77.6,22.4,18.1,28.1,15.7,18828,21.9,27.1,57900,13.1,17.299999999999997,21.577464788732396,51.61290322580645,3
34,0500000US40069,40069,Johnston County,C,658.24469471361,34.3134553,-96.6542545,11043,16.776436010326833,71.728696912071,1.4941591958706872,6.438467807660962,0.6882187811283166,0.3169428597301458,1.476048175314679,17.857466268224215,4.256089830661958,39.7,50.9,6.4,79.4,15.6,15.9,33.5,20.5,19742,19.8,17.3,77800,16.5,19.799999999999997,23.27463112803427,48.08998302207131,2
35,0500000US40071,40071,Kay County,C,944.9661893167885,36.8148423,-97.1437553,45781,48.44723601497289,79.8016644459492,1.8806928638518163,8.143116139883357,0.644372119438195,0.017474498154256134,2.1493632729735044,7.363316659749677,6.891505209584762,39.1,39.6,8.0,81.7,18.8,12.4,31.700000000000003,16.1,22741,18.2,15.6,76200,14.8,12.899999999999999,52.52742703374042,61.377515266793466,4
36,0500000US40073,40073,Kingfisher County,C,906.0174780862519,35.9494308,-97.934568,15202,16.778925757713456,86.50177608209447,0.42099723720563087,3.920536771477437,0.0,0.0723589001447178,6.1570845941323515,2.927246414945402,14.129719773713987,38.5,33.1,3.5,84.7,13.1,19.6,28.0,9.0,26791,6.9,10.8,117900,11.5,14.3,65.73391630231106,71.82946573124663,4
37,0500000US40075,40075,Kiowa County,C,1030.702241970402,34.9214893,-98.9816168,9379,9.099621227242205,79.6033692291289,4.126239471158972,5.821516153108007,0.15993176244802218,0.0,5.085830045847105,5.203113338308988,9.862458684294701,42.9,42.7,6.1,80.6,18.7,13.6,32.0,21.4,23062,24.3,23.4,59900,16.2,16.1,28.37305699481865,53.09194467046379,5
38,0500000US40077,40077,Latimer County,C,729.1130065284423,34.8751365,-95.2722625,10921,14.978473710129842,69.5266001281934,0.8790403809174985,14.577419650215182,0.5585569087079937,0.0,1.0438604523395294,13.41452247962641,3.0583279919421296,39.3,49.1,8.7,82.8,15.4,15.2,41.2,16.6,22065,17.0,17.2,77800,14.2,15.7,15.271705184259837,43.050847457627114,2
39,0500000US40079,40079,Le Flore County,C,1608.526492602136,34.8996421,-94.7034907,50048,31.11419067710638,75.35166240409207,2.387707800511509,9.740648976982097,0.4475703324808184,0.1118925831202046,3.045076726342711,8.915441176470589,6.757512787723785,39.5,48.5,10.5,81.4,19.4,15.4,34.2,19.4,18390,23.3,15.3,79700,14.7,19.4,23.584455616307658,53.77800407331975,2
40,0500000US40081,40081,Lincoln County,C,965.6784898041604,35.7031175,-96.8813917,34366,35.58741378506777,85.88430425420474,1.6848047488797067,7.117499854507361,0.10475469941220975,0.0,0.5208636442995984,4.687772798696386,2.7585404178548565,40.6,41.0,7.5,82.0,17.3,16.6,29.8,13.6,22752,15.6,12.3,94200,12.7,15.4,48.09084924292298,61.69822145725761,4
41,0500000US40083,40083,Logan County,C,748.8249723078438,35.9141514,-97.4507644,43700,58.35809650594134,81.69107551487414,9.167048054919908,3.7162471395881003,0.5011441647597253,0.004576659038901602,1.2700228832951945,3.6498855835240276,5.4027459954233406,37.4,38.9,6.7,82.8,16.0,12.7,38.2,13.9,26284,12.7,12.1,138800,10.5,8.9,54.90065966665365,64.21554869492002,4
42,0500000US40085,40085,Love County,C,532.3936274059249,33.9577749,-97.2451238,9574,17.982935007409996,85.2412784625026,2.0785460622519323,6.434092333402966,0.5222477543346563,0.0,1.6920827240442866,4.031752663463547,13.306872780447044,39.5,43.6,3.6,80.5,19.9,15.8,22.1,7.6,20151,14.9,28.5,84900,9.5,16.3,22.204613488290192,54.820680018630654,3
43,0500000US40087,40087,McClain County,C,580.2532482687864,35.0164135,-97.4498113,35860,61.800601904409916,84.12716118237591,0.9007250418293363,5.368098159509203,0.6162855549358617,0.4406023424428332,2.7300613496932513,5.817066369213608,7.322922476296709,38.3,37.1,3.8,84.5,17.5,14.0,34.400000000000006,10.1,26582,10.7,9.2,151200,11.1,12.7,49.08464154283318,61.71245724373827,3
